"Notes"	"Residence County"	"Residence County Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Jan., 2022 (provisional)"	"2022/01"	91	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Feb., 2022 (provisional)"	"2022/02"	66	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Mar., 2022 (provisional)"	"2022/03"	47	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Apr., 2022 (provisional and partial)"	"2022/04"	13	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Jan., 2022 (provisional)"	"2022/01"	285	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Feb., 2022 (provisional)"	"2022/02"	248	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Mar., 2022 (provisional)"	"2022/03"	216	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Apr., 2022 (provisional and partial)"	"2022/04"	66	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Jan., 2022 (provisional)"	"2022/01"	31	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Feb., 2022 (provisional)"	"2022/02"	29	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Mar., 2022 (provisional)"	"2022/03"	27	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Jan., 2022 (provisional)"	"2022/01"	30	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Feb., 2022 (provisional)"	"2022/02"	26	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Mar., 2022 (provisional)"	"2022/03"	19	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Jan., 2022 (provisional)"	"2022/01"	84	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Feb., 2022 (provisional)"	"2022/02"	78	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Mar., 2022 (provisional)"	"2022/03"	76	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Apr., 2022 (provisional and partial)"	"2022/04"	22	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Jan., 2022 (provisional)"	"2022/01"	17	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Feb., 2022 (provisional)"	"2022/02"	11	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Jan., 2022 (provisional)"	"2022/01"	31	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Feb., 2022 (provisional)"	"2022/02"	32	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Mar., 2022 (provisional)"	"2022/03"	27	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Apr., 2022 (provisional and partial)"	"2022/04"	14	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Jan., 2022 (provisional)"	"2022/01"	195	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Feb., 2022 (provisional)"	"2022/02"	173	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Mar., 2022 (provisional)"	"2022/03"	132	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Apr., 2022 (provisional and partial)"	"2022/04"	49	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Jan., 2022 (provisional)"	"2022/01"	53	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Feb., 2022 (provisional)"	"2022/02"	37	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Mar., 2022 (provisional)"	"2022/03"	33	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Apr., 2022 (provisional and partial)"	"2022/04"	16	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Jan., 2022 (provisional)"	"2022/01"	49	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Feb., 2022 (provisional)"	"2022/02"	49	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Mar., 2022 (provisional)"	"2022/03"	32	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Jan., 2022 (provisional)"	"2022/01"	60	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Feb., 2022 (provisional)"	"2022/02"	66	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Mar., 2022 (provisional)"	"2022/03"	59	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Apr., 2022 (provisional and partial)"	"2022/04"	12	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Jan., 2022 (provisional)"	"2022/01"	26	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Feb., 2022 (provisional)"	"2022/02"	19	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Mar., 2022 (provisional)"	"2022/03"	13	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Jan., 2022 (provisional)"	"2022/01"	45	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Feb., 2022 (provisional)"	"2022/02"	33	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Mar., 2022 (provisional)"	"2022/03"	25	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Jan., 2022 (provisional)"	"2022/01"	28	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Feb., 2022 (provisional)"	"2022/02"	23	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Mar., 2022 (provisional)"	"2022/03"	10	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"Jan., 2022 (provisional)"	"2022/01"	19	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"Feb., 2022 (provisional)"	"2022/02"	16	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"Mar., 2022 (provisional)"	"2022/03"	18	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"Jan., 2022 (provisional)"	"2022/01"	70	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"Feb., 2022 (provisional)"	"2022/02"	62	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"Mar., 2022 (provisional)"	"2022/03"	44	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"Apr., 2022 (provisional and partial)"	"2022/04"	20	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"Jan., 2022 (provisional)"	"2022/01"	78	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"Feb., 2022 (provisional)"	"2022/02"	83	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"Mar., 2022 (provisional)"	"2022/03"	66	Not Applicable	Not Applicable
	"Colbert County, AL"	"01033"	"Apr., 2022 (provisional and partial)"	"2022/04"	17	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"Jan., 2022 (provisional)"	"2022/01"	14	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"Feb., 2022 (provisional)"	"2022/02"	27	Not Applicable	Not Applicable
	"Conecuh County, AL"	"01035"	"Mar., 2022 (provisional)"	"2022/03"	19	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	"Jan., 2022 (provisional)"	"2022/01"	21	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	"Feb., 2022 (provisional)"	"2022/02"	15	Not Applicable	Not Applicable
	"Coosa County, AL"	"01037"	"Mar., 2022 (provisional)"	"2022/03"	17	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"Jan., 2022 (provisional)"	"2022/01"	64	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"Feb., 2022 (provisional)"	"2022/02"	80	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"Mar., 2022 (provisional)"	"2022/03"	58	Not Applicable	Not Applicable
	"Covington County, AL"	"01039"	"Apr., 2022 (provisional and partial)"	"2022/04"	14	Not Applicable	Not Applicable
	"Crenshaw County, AL"	"01041"	"Jan., 2022 (provisional)"	"2022/01"	30	Not Applicable	Not Applicable
	"Crenshaw County, AL"	"01041"	"Feb., 2022 (provisional)"	"2022/02"	28	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Jan., 2022 (provisional)"	"2022/01"	127	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Feb., 2022 (provisional)"	"2022/02"	117	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Mar., 2022 (provisional)"	"2022/03"	101	Not Applicable	Not Applicable
	"Cullman County, AL"	"01043"	"Apr., 2022 (provisional and partial)"	"2022/04"	38	Not Applicable	Not Applicable
	"Dale County, AL"	"01045"	"Jan., 2022 (provisional)"	"2022/01"	68	Not Applicable	Not Applicable
