residence_county	month_code	deaths	population	mortality
Adams County, IN	2018/01	41	35595	115.18471695462847
Adams County, IN	2018/02	27	35595	75.85335018963337
Adams County, IN	2018/03	18	35595	50.56890012642225
Adams County, IN	2018/04	25	35595	70.2345835089198
Adams County, IN	2018/05	32	35595	89.90026689141733
Adams County, IN	2018/06	22	35595	61.80643348784942
Adams County, IN	2018/07	16	35595	44.950133445708666
Adams County, IN	2018/08	26	35595	73.04396684927659
Adams County, IN	2018/09	27	35595	75.85335018963337
Adams County, IN	2018/10	25	35595	70.2345835089198
Adams County, IN	2018/11	23	35595	64.6158168282062
Adams County, IN	2018/12	26	35595	73.04396684927659
Adams County, IN	2019/01	17	35777	47.51656091902619
Adams County, IN	2019/02	22	35777	61.492020012857424
Adams County, IN	2019/03	24	35777	67.08220365038991
Adams County, IN	2019/04	21	35777	58.69692819409117
Adams County, IN	2019/05	19	35777	53.10674455655868
Adams County, IN	2019/06	22	35777	61.492020012857424
Adams County, IN	2019/07	28	35777	78.2625709254549
Adams County, IN	2019/08	24	35777	67.08220365038991
Adams County, IN	2019/09	21	35777	58.69692819409117
Adams County, IN	2019/10	26	35777	72.6723872879224
Adams County, IN	2019/11	36	35777	100.62330547558487
Adams County, IN	2019/12	24	35777	67.08220365038991
Adams County, IN	2020/01	32	35826	89.32060514709987
Adams County, IN	2020/02	30	35826	83.73806732540613
Adams County, IN	2020/03	31	35826	86.529336236253
Adams County, IN	2020/04	28	35826	78.15552950371239
Adams County, IN	2020/05	25	35826	69.78172277117177
Adams County, IN	2020/06	35	35826	97.69441187964048
Adams County, IN	2020/07	32	35826	89.32060514709987
Adams County, IN	2020/08	22	35826	61.407916038631164
Adams County, IN	2020/09	31	35826	86.529336236253
Adams County, IN	2020/10	41	35826	114.44202534472171
Adams County, IN	2020/11	47	35826	131.18963880980294
Adams County, IN	2020/12	44	35826	122.81583207726233
Adams County, IN	2021/01	40	35961	111.23161202413725
Adams County, IN	2021/02	22	35961	61.177386613275495
Adams County, IN	2021/03	28	35961	77.86212841689608
Adams County, IN	2021/04	25	35961	69.51975751508579
Adams County, IN	2021/05	24	35961	66.73896721448236
Adams County, IN	2021/06	32	35961	88.98528961930981
Adams County, IN	2021/07	20	35961	55.615806012068624
Adams County, IN	2021/08	34	35961	94.54687022051667
Adams County, IN	2021/09	33	35961	91.76607991991324
Adams County, IN	2021/10	32	35961	88.98528961930981
Adams County, IN	2021/11	43	35961	119.57398292594755
Adams County, IN	2021/12	49	35961	136.25872472956814
Adams County, IN	2022/01	30	36096	83.11170212765957
Adams County, IN	2022/02	23	36096	63.718971631205676
Adams County, IN	2022/03	18	36096	49.86702127659574
Davis County, IA	2018/01	16	8972	178.33259028087383
Davis County, IA	2018/06	10	8972	111.45786892554615
Davis County, IA	2018/09	10	8972	111.45786892554615
Davis County, IA	2018/10	10	8972	111.45786892554615
Davis County, IA	2019/09	11	9000	122.22222222222221
Davis County, IA	2019/11	10	9000	111.11111111111111
Davis County, IA	2020/05	10	9109	109.78153474585574
Davis County, IA	2020/11	20	9109	219.56306949171147
Davis County, IA	2020/12	15	9109	164.67230211878362
Davis County, IA	2021/10	10	9138	109.4331363536879
Davis County, IA	2021/11	12	9138	131.31976362442546
Davis County, IA	2022/01	16	9167	174.53910766881205
Davis County, IA	2022/02	12	9167	130.90433075160902
Douglas County, IL	2018/01	20	19458	102.78548668927947
Douglas County, IL	2018/02	18	19458	92.50693802035153
Douglas County, IL	2018/03	19	19458	97.6462123548155
Douglas County, IL	2018/04	14	19458	71.94984068249563
Douglas County, IL	2018/05	18	19458	92.50693802035153
Douglas County, IL	2018/06	14	19458	71.94984068249563
Douglas County, IL	2018/08	12	19458	61.67129201356768
Douglas County, IL	2018/09	19	19458	97.6462123548155
Douglas County, IL	2018/10	21	19458	107.92476102374346
Douglas County, IL	2018/11	10	19458	51.39274334463973
Douglas County, IL	2018/12	17	19458	87.36766368588755
Douglas County, IL	2019/02	11	19465	56.51168764449011
Douglas County, IL	2019/03	14	19465	71.92396609298741
Douglas County, IL	2019/04	11	19465	56.51168764449011
Douglas County, IL	2019/05	10	19465	51.37426149499101
Douglas County, IL	2019/06	13	19465	66.78653994348831
Douglas County, IL	2019/07	18	19465	92.47367069098382
Douglas County, IL	2019/08	12	19465	61.64911379398921
Douglas County, IL	2019/09	17	19465	87.33624454148472
Douglas County, IL	2019/10	12	19465	61.64911379398921
Douglas County, IL	2019/11	12	19465	61.64911379398921
Douglas County, IL	2019/12	12	19465	61.64911379398921
Douglas County, IL	2020/01	17	19742	86.11082970317091
Douglas County, IL	2020/03	11	19742	55.71877216087529
Douglas County, IL	2020/04	16	19742	81.04548677945498
Douglas County, IL	2020/05	19	19742	96.24151555060277
Douglas County, IL	2020/06	13	19742	65.84945800830717
Douglas County, IL	2020/07	27	19742	136.76425894033025
Douglas County, IL	2020/08	19	19742	96.24151555060277
Douglas County, IL	2020/09	18	19742	91.17617262688684
Douglas County, IL	2020/10	19	19742	96.24151555060277
Douglas County, IL	2020/11	31	19742	157.025630635194
Douglas County, IL	2020/12	27	19742	136.76425894033025
Douglas County, IL	2021/01	25	19722	126.76199168441333
Douglas County, IL	2021/02	23	19722	116.62103234966028
Douglas County, IL	2021/03	19	19722	96.33911368015414
Douglas County, IL	2021/04	17	19722	86.19815434540108
Douglas County, IL	2021/05	19	19722	96.33911368015414
Douglas County, IL	2021/06	18	19722	91.26863401277761
Douglas County, IL	2021/07	23	19722	116.62103234966028
Douglas County, IL	2021/08	23	19722	116.62103234966028
Douglas County, IL	2021/09	18	19722	91.26863401277761
Douglas County, IL	2021/10	15	19722	76.057195010648
Douglas County, IL	2021/11	17	19722	86.19815434540108
Douglas County, IL	2021/12	30	19722	152.114390021296
Douglas County, IL	2022/01	30	19702	152.26880519744188
Douglas County, IL	2022/02	24	19702	121.8150441579535
Douglas County, IL	2022/03	23	19702	116.73941731803878
Holmes County, OH	2018/01	39	43919	88.79983606184112
Holmes County, OH	2018/02	27	43919	61.47680958127462
Holmes County, OH	2018/03	27	43919	61.47680958127462
Holmes County, OH	2018/04	32	43919	72.86140394817733
Holmes County, OH	2018/05	23	43919	52.36913408775245
Holmes County, OH	2018/06	31	43919	70.58448507479677
Holmes County, OH	2018/07	21	43919	47.815296340991374
Holmes County, OH	2018/08	24	43919	54.646052961132995
Holmes County, OH	2018/09	20	43919	45.53837746761083
Holmes County, OH	2018/10	25	43919	56.92297183451353
Holmes County, OH	2018/11	40	43919	91.07675493522166
Holmes County, OH	2018/12	29	43919	66.0306473280357
Holmes County, OH	2019/01	25	43960	56.869881710646034
Holmes County, OH	2019/02	29	43960	65.9690627843494
Holmes County, OH	2019/03	26	43960	59.14467697907188
Holmes County, OH	2019/04	30	43960	68.24385805277525
Holmes County, OH	2019/05	23	43960	52.32029117379436
Holmes County, OH	2019/06	14	43960	31.84713375796178
Holmes County, OH	2019/07	32	43960	72.79344858962693
Holmes County, OH	2019/08	31	43960	70.51865332120109
Holmes County, OH	2019/09	26	43960	59.14467697907188
Holmes County, OH	2019/10	31	43960	70.51865332120109
Holmes County, OH	2019/11	23	43960	52.32029117379436
Holmes County, OH	2019/12	34	43960	77.34303912647862
Holmes County, OH	2020/01	31	44194	70.14526858849618
Holmes County, OH	2020/02	24	44194	54.30601439109381
Holmes County, OH	2020/03	26	44194	58.83151559035163
Holmes County, OH	2020/04	28	44194	63.357016789609446
Holmes County, OH	2020/05	37	44194	83.72177218626963
Holmes County, OH	2020/06	36	44194	81.45902158664072
Holmes County, OH	2020/07	34	44194	76.93352038738291
Holmes County, OH	2020/08	31	44194	70.14526858849618
Holmes County, OH	2020/09	26	44194	58.83151559035163
Holmes County, OH	2020/10	45	44194	101.82377698330089
Holmes County, OH	2020/11	64	44194	144.8160383762502
Holmes County, OH	2020/12	45	44194	101.82377698330089
Holmes County, OH	2021/01	36	44271	81.31734092295181
Holmes County, OH	2021/02	30	44271	67.76445076912651
Holmes County, OH	2021/03	39	44271	88.09378599986447
Holmes County, OH	2021/04	30	44271	67.76445076912651
Holmes County, OH	2021/05	31	44271	70.02326579476407
Holmes County, OH	2021/06	33	44271	74.54089584603918
Holmes County, OH	2021/07	27	44271	60.98800569221387
Holmes County, OH	2021/08	29	44271	65.50563574348897
Holmes County, OH	2021/09	38	44271	85.83497097422692
Holmes County, OH	2021/10	41	44271	92.61141605113957
Holmes County, OH	2021/11	35	44271	79.05852589731427
Holmes County, OH	2021/12	49	44271	110.68193625623998
Holmes County, OH	2022/01	43	44348	96.96040407684676
Holmes County, OH	2022/02	36	44348	81.17615225038332
Holmes County, OH	2022/03	19	44348	42.84296924325787
Holmes County, OH	2022/04	11	44348	24.803824298728237
Lagrange County, IN	2018/01	31	39375	78.73015873015872
Lagrange County, IN	2018/02	29	39375	73.65079365079364
Lagrange County, IN	2018/03	17	39375	43.17460317460318
Lagrange County, IN	2018/04	32	39375	81.26984126984127
Lagrange County, IN	2018/05	28	39375	71.11111111111111
Lagrange County, IN	2018/06	27	39375	68.57142857142857
Lagrange County, IN	2018/07	26	39375	66.03174603174604
Lagrange County, IN	2018/08	17	39375	43.17460317460318
Lagrange County, IN	2018/09	22	39375	55.873015873015866
Lagrange County, IN	2018/10	26	39375	66.03174603174604
Lagrange County, IN	2018/11	28	39375	71.11111111111111
Lagrange County, IN	2018/12	21	39375	53.333333333333336
Lagrange County, IN	2019/01	21	39614	53.01156156914223
Lagrange County, IN	2019/02	18	39614	45.43848134497905
Lagrange County, IN	2019/03	21	39614	53.01156156914223
Lagrange County, IN	2019/04	13	39614	32.816680971373756
Lagrange County, IN	2019/05	15	39614	37.865401120815875
Lagrange County, IN	2019/06	20	39614	50.487201494421164
Lagrange County, IN	2019/07	23	39614	58.060281718584335
Lagrange County, IN	2019/08	26	39614	65.63336194274751
Lagrange County, IN	2019/09	26	39614	65.63336194274751
Lagrange County, IN	2019/10	27	39614	68.15772201746857
Lagrange County, IN	2019/11	23	39614	58.060281718584335
Lagrange County, IN	2019/12	19	39614	47.962841419700105
Lagrange County, IN	2020/01	24	40515	59.237319511292114
Lagrange County, IN	2020/02	20	40515	49.364432926076766
Lagrange County, IN	2020/03	21	40515	51.832654572380605
Lagrange County, IN	2020/04	27	40515	66.64198445020362
Lagrange County, IN	2020/05	21	40515	51.832654572380605
Lagrange County, IN	2020/06	33	40515	81.45131432802665
Lagrange County, IN	2020/07	27	40515	66.64198445020362
Lagrange County, IN	2020/08	22	40515	54.30087621868444
Lagrange County, IN	2020/09	27	40515	66.64198445020362
Lagrange County, IN	2020/10	33	40515	81.45131432802665
Lagrange County, IN	2020/11	55	40515	135.7521905467111
Lagrange County, IN	2020/12	42	40515	103.66530914476121
Lagrange County, IN	2021/01	35	40524	86.36857171059125
Lagrange County, IN	2021/02	12	40524	29.612081729345572
Lagrange County, IN	2021/03	18	40524	44.41812259401836
Lagrange County, IN	2021/04	28	40524	69.094857368473
Lagrange County, IN	2021/05	23	40524	56.756489981245686
Lagrange County, IN	2021/06	20	40524	49.35346954890929
Lagrange County, IN	2021/07	26	40524	64.15951041358207
Lagrange County, IN	2021/08	23	40524	56.756489981245686
Lagrange County, IN	2021/09	20	40524	49.35346954890929
Lagrange County, IN	2021/10	44	40524	108.57763300760044
Lagrange County, IN	2021/11	26	40524	64.15951041358207
Lagrange County, IN	2021/12	38	40524	93.77159214292764
Lagrange County, IN	2022/01	28	40533	69.07951545654159
Lagrange County, IN	2022/02	34	40533	83.88226876865764
Lagrange County, IN	2022/03	19	40533	46.875385488367506
